number,name,diameter (km),Period (h),a (AU),e,slow,a_mean
6085,Fraethi,5.0,5.55419,2.3071,0.0921,False,2.2972942776212
6088,Hoshigakubo,18.83,12.5125,3.0947,0.1503,False,3.0595455546374484
6091,Mitsuru,5.26,5.85518,2.2086,0.1505,False,2.18344406599471
6096,1991UB2,3.99,6.46613,2.334,0.1064,False,2.3207508346279315
6104,Takao,10.52,30.88983,2.7048,0.0737,False,2.697444180210049
6112,Ludolfschultz,7.87,4.81011,3.1094,0.2173,False,3.0351004712500598
6115,Martinduncan,4.94,5.89363,2.2259,0.1278,False,2.207647530227867
6116,Still,8.92,8.51634,2.9852,0.0658,False,2.9787305691632557
6119,Hjorth,6.41,4.39126,2.615,0.1364,False,2.5905598038655664
6123,Aristoteles,6.95,5.12989,2.3304,0.0278,False,2.3294993127765857
6136,Gryphon,16.73,16.46839,3.0231,0.0778,False,3.0139369430232024
6139,Naomi,10.67,20.95967,2.6609,0.1793,False,2.6177786386831112
6146,Adamkrafft,5.21,6.95785,2.3147,0.2394,False,2.247390900397376
6174,Polybius,22.69,8.70884,3.0565,0.186,False,3.003163293415628
6206,Corradolamberti,5.89,22.70239,2.8301,0.0493,False,2.826658642807326
6215,Mehdia,14.7,7.29568,2.7003,0.1053,False,2.6852876848107488
6220,Stepanmakarov,11.22,9.79874,3.0248,0.0811,False,3.014836217094514
6226,Paulwarren,3.21,7.45821,2.209,0.1509,False,2.1837048131760826
6233,Kimura,9.89,7.0941,2.7931,0.1962,False,2.7388130262654498
6237,Chikushi,34.97,7.81168,3.9598,0.0819,False,3.946497258026405
6238,Septimaclark,8.43,10.815,2.5612,0.133,False,2.538446395516722
6240,LucretiusCarus,4.72,58.82951,2.2205,0.1118,True,2.206579081779393
6246,Komurotoru,5.87,3.2749,2.4476,0.2511,False,2.369181713383258
6247,Amanogawa,6.72,12.3657,2.3939,0.0435,False,2.3916339988947675
6253,1992FJ,4.05,5.72373,2.2652,0.1411,False,2.2425374633631256
6257,Thorvaldsen,4.28,82.65972,2.3406,0.086,True,2.331928397650631
6284,Borisivanov,7.29,469.02612,2.8558,0.027,True,2.854758871119668
6287,Lenham,11.07,5.62277,3.1344,0.1486,False,3.0995999666187597
6290,1985CA2,5.84,5.225,2.2218,0.1129,False,2.2075946009965035
6291,Renzetti,4.93,4.3639,2.4786,0.201,False,2.4280148506461074
6300,Hosamu,12.53,62.18279,3.2209,0.1592,False,3.1798217759115683
6319,Beregovoj,5.41,6.84082,2.2664,0.1213,False,2.2496646587122573
6328,1991NL1,21.74,261.9876,3.1744,0.099,True,3.1588055484085498
6334,Robleonard,5.03,9.06705,2.4076,0.0706,False,2.4015923319852948
6338,Isaosato,25.45,4.97685,3.1694,0.0898,False,3.156595048648006
6346,Syukumeguri,21.5,20.87617,3.1062,0.1017,False,3.0900947054787347
6350,Schluter,24.56,13.19453,3.1145,0.0754,False,3.1056341657077238
6355,Univermoscow,29.89,21.73637,3.2072,0.075,False,3.1981670294717253
6357,Glushko,14.57,39.41818,2.9991,0.0726,False,2.99118578958825
6361,Koppel,3.76,9.11187,2.4155,0.1928,False,2.370180570372106
6362,Tunis,39.58,34.93924,3.1808,0.1604,False,3.139615306605556
6370,Malpais,4.76,5.60847,2.3657,0.1012,False,2.3535547364210276
6371,Heinlein,23.34,4.96336,3.0691,0.1711,False,3.023842031979935
6374,Beslan,22.81,26.30849,3.1656,0.0615,False,3.159607783316885
6375,Fredharris,18.69,13.31013,3.1779,0.1497,False,3.142089722814666
6383,Tokushima,14.86,4.76522,2.9972,0.0816,False,2.9872048158110767
6391,Africano,5.88,69.55578,2.645,0.1595,True,2.611138520836026
6392,Takashimizuno,32.62,19.48545,3.2302,0.0991,False,3.214299273943179
6397,1991BJ,7.55,77.58315,2.3496,0.0432,True,2.3474065173788285
6399,Harada,7.36,10.95881,2.4296,0.1386,False,2.4061505788883304
6401,Roentgen,7.88,15.97229,2.6779,0.1448,False,2.649677462341708
6406,Mikejura,4.06,6.81817,2.2755,0.122,False,2.2585022432308985
6408,Saijo,11.03,301.88432,2.8725,0.0407,True,2.870119880167802
6410,Fujiwara,16.47,7.00668,2.771,0.1935,False,2.718628862582708
6415,1993VR3,16.89,5.11254,3.14,0.1444,False,3.1070909112776213
6418,Hanamigahara,6.39,6.37719,2.26,0.107,False,2.247025386505457
6420,Riheijyaya,13.28,8.25352,2.9897,0.0744,False,2.9814139846726517
6422,Akagi,9.08,7.74769,2.625,0.1392,False,2.59944375588317
6424,Ando,11.66,139.83582,3.0209,0.0776,True,3.011790698393734
6425,1994WZ3,14.7,104.34627,2.5495,0.1566,True,2.5180445448893694
6426,Vanysek,4.7,3.71645,2.4228,0.1866,False,2.380245874096525
6432,Temirkanov,23.82,5.73309,3.0768,0.1063,False,3.0593671706031715
6437,Stroganov,7.6,19.1346,2.8997,0.0773,False,2.8910237455902754
6439,Tirol,17.46,4.19924,3.1855,0.0738,False,3.176813338696183
6450,Masahikohayashi,5.99,79.45431,2.5411,0.2471,True,2.4623004495325596
6452,Johneuller,7.76,7.44688,2.4383,0.0904,False,2.4283164725475586
6457,Kremsmunster,7.02,3.86783,2.8818,0.0388,False,2.8796299944931216
6458,Nouda,7.5,4.20359,2.5529,0.1045,False,2.538922582915477
6463,Isoda,10.97,6.16222,2.6131,0.1354,False,2.589036007356254
6467,Prilepina,16.79,10.45994,2.6546,0.0945,False,2.642720297518432
6475,Refugium,44.21,8.03952,3.1443,0.1262,False,3.1191607509248964
6477,1988AE5,11.19,37.56906,3.0368,0.0523,False,3.032643891677503
6479,Leoconnolly,20.15,5.1126,2.6133,0.2166,False,2.551261398872525
6501,Isonzo,2.46,6.10348,2.3207,0.09,False,2.3112820548844746
6508,Rolcik,11.75,9.12729,2.7036,0.1726,False,2.6630243711121664
6522,Aci,6.12,7.69432,2.3856,0.2289,False,2.3222621821500806
6531,Subashiri,12.12,10.00781,3.2031,0.1725,False,3.155083986210579
6534,Carriepeterson,13.41,14.29385,3.1648,0.1296,False,3.1381092061001823
6535,Archipenko,9.03,6.50537,2.4208,0.1699,False,2.3856047349406047
6553,Seehaus,10.4,3.99119,3.0519,0.0851,False,3.0408289742988575
6557,Yokonomura,23.69,2.95676,3.1682,0.1639,False,3.12535630047947
6568,Serendip,10.01,24.1045,2.5451,0.1498,False,2.516381904185897
6581,Sobers,5.72,6.63468,2.2992,0.0756,False,2.292620207201134
6587,Brassens,4.11,4.66463,2.4553,0.0418,False,2.453154063037466
6592,Goya,5.55,3.5523,2.7577,0.1382,False,2.731238053025049
6594,Tasman,8.46,3.83276,2.7793,0.1319,False,2.755017332767489
6595,Munizbarreto,3.32,5.49131,2.43,0.1309,False,2.409091251993374
6598,Modugno,12.41,6.76582,2.6991,0.2264,False,2.629016287303573
6599,Tsuko,3.41,800.91616,2.2668,0.1536,True,2.239900130217187
6605,Carmontelle,9.14,118.70074,2.8919,0.0502,True,2.8882538496017585
6607,Matsushima,7.36,11.3101,2.623,0.0944,False,2.611286597375815
6608,Davidecrespi,6.98,100.6318,2.4518,0.1909,True,2.4067101465103966
6619,Kolya,35.0,10.50073,3.1806,0.1844,False,3.126056783437088
6632,Scoon,3.69,7.0134,2.4122,0.1167,False,2.395717947581896
6644,Jugaku,14.6,9.47438,3.1956,0.127,False,3.169724322458116
6653,Feininger,6.17,15.67549,2.912,0.0667,False,2.9055151955747607
6655,Nagahama,20.11,5.22408,2.9948,0.0621,False,2.989019833610121
6659,Pietsch,5.53,12.98885,2.3716,0.1058,False,2.358289227864666
6665,Kagawa,12.0,6.74917,3.0054,0.0716,False,2.9976864195518367
6670,Wallach,8.74,4.08056,2.7236,0.2714,False,2.6213741504486148
6672,Corot,2.14,37.66647,2.4118,0.1824,True,2.3713406315230667
6674,Cezanne,12.06,36.5654,2.4577,0.1492,False,2.430191059283087
6686,Hernius,8.57,4.70938,2.9484,0.0808,False,2.93875971866505
6693,1986CC2,9.94,11.39544,2.3748,0.2349,False,2.3083520083050875
6708,Bobbievaile,9.41,12.34479,2.4463,0.1533,False,2.417383988360872
6719,Gallaj,8.13,4.42948,2.7584,0.0488,False,2.755113560170904
6720,Gifu,21.19,4.23112,3.0965,0.1318,False,3.0694871520679654
6723,Chrisclark,20.47,12.82193,3.2074,0.113,False,3.1868565642227384
6746,Zagar,8.29,9.76709,2.6007,0.137,False,2.5761781230425798
6748,Bratton,12.04,161.22772,2.4715,0.1591,True,2.440019201275899
6750,Katgert,9.85,9.42933,3.0089,0.1031,False,2.992865559435404
6754,Burdenko,5.1,2.57803,2.4415,0.1698,False,2.406045864328257
6755,Solov'yanenko,7.08,8.16799,2.4422,0.0483,False,2.4393496446589555
6757,Addibischoff,6.68,2.76529,2.8979,0.0508,False,2.8941583661601133
6761,Haroldconnolly,8.8,12.48403,3.1593,0.1219,False,3.135739163262377
6770,Fugate,10.25,6.15127,3.0232,0.0812,False,3.0132168730940783
6783,Gulyaev,6.28,4.00941,2.7643,0.116,False,2.7456388007133348
6784,Bogatikov,6.19,11.5292,2.7932,0.0737,False,2.785603772612655
6786,Doudantsutsuji,15.35,6.43546,3.1201,0.1379,False,3.0902910545879
6794,Masuisakura,33.62,4.5881,3.0893,0.1964,False,3.0291323606518437
6795,Ornskoldsvik,6.08,13.75162,2.6405,0.0924,False,2.629203859742177
6796,Sundsvall,11.07,4.88723,2.7392,0.0389,False,2.7371267229611758
6813,Amandahendrix,12.61,38.87461,3.131,0.1415,False,3.099496678441154
6817,Pest,4.15,124.77013,2.3086,0.1044,True,2.295984399076295
6829,Charmawidor,7.33,27.85682,2.8588,0.0363,False,2.856915873035586
6845,Mansurova,4.76,21.59869,2.2758,0.1552,False,2.2482242907144947
6852,Nannibignami,4.15,3.02466,2.3946,0.1914,False,2.350328920469841
6861,1991FA3,20.04,19.464,3.1466,0.13,False,3.11989793304781
6862,Virgiliomarcon,31.57,19.43487,3.1738,0.0229,False,3.1729677046406883
6868,Seiyauyeda,18.6,10.63081,2.6606,0.1909,False,2.611670207931137
6879,Hyogo,25.08,19.10984,3.1211,0.1508,False,3.0854080126807975
6882,Sormano,8.1,3.99834,2.5508,0.0844,False,2.541698629604275
6891,Triconia,8.32,18.34952,2.6857,0.0174,False,2.685293407956719
6903,1989XM,7.85,5.44502,2.9281,0.0215,False,2.9274231646616755
6915,1992HH,7.1,4.76365,2.6043,0.1518,False,2.574119366828992
6939,Lestone,16.62,2.82085,2.5897,0.1408,False,2.563901563656909
6941,Dalgarno,8.82,12.23812,2.7795,0.2086,False,2.718353898863485
6948,Gounelle,3.63,4.83446,2.3959,0.1846,False,2.354723430484298
6955,Ekaterina,16.53,129.49904,3.1128,0.1373,True,3.0833202584438495
6972,Helvetius,6.88,16.30895,2.569,0.1568,False,2.5372224364669647
6979,Shigefumi,12.93,12.1078,2.6525,0.1949,False,2.601633322113233
6983,Komatsusakyo,26.89,9.88435,3.2275,0.0874,False,3.2151493198649033
6987,Onioshidashi,5.72,35.72117,2.7898,0.0738,False,2.782192388100647
6991,Chichibu,4.46,9.4926,2.4016,0.1645,False,2.368883202693995
7001,Noether,6.07,9.58196,2.3798,0.1527,False,2.351891107099006
7022,1992JN4,6.98,5.51524,2.6147,0.0856,False,2.6051029633456673
7029,1993XT2,17.96,9.01117,3.2444,0.0317,False,3.24276945771013
7036,Kentarohirata,21.78,11.27509,3.1046,0.2306,False,3.0209267825290014
7037,Davidlean,20.17,29.59927,3.1081,0.1265,False,3.0831314121518365
7043,Godart,5.72,8.4518,2.2447,0.147,False,2.220314683812452
7055,Fabiopagan,6.69,4.16879,2.3496,0.2247,False,2.2895160080824475
7056,Kierkegaard,7.58,61.95023,2.8096,0.0801,True,2.8005722853736374
7057,Al-Farabi,4.57,4.28913,2.2622,0.1053,False,2.249623301329066
7069,1994YG2,10.2,3.95526,2.4701,0.0458,False,2.4675079497073282
7072,Beijingdaxue,4.17,5.3044,2.4185,0.1682,False,2.384043364289146
7104,Manyousyu,6.16,15.89481,2.4826,0.1028,False,2.469447299004529
7107,Peiser,4.82,5.9366,2.3006,0.0897,False,2.291325889915053
7141,Bettarini,6.77,3.36967,2.7869,0.1345,False,2.7615770940301845
7143,Haramura,15.37,3.66768,3.0937,0.1292,False,3.0677703257557463
7151,1971SX3,9.82,5.07205,2.6064,0.1332,False,2.5831748351845345
7167,Laupheim,24.57,7.04447,3.1292,0.2423,False,3.035954145791628
7170,Livesey,9.69,7.54659,2.6985,0.1491,False,2.668336497640745
7171,Arthurkraus,11.02,11.57938,2.3309,0.1803,False,2.292700432882148
7179,Gassendi,7.0,15.55084,2.936,0.1049,False,2.919801427737003
7192,Cieletespace,15.03,6.35582,3.1758,0.0623,False,3.1696309077803564
7201,Kuritariku,5.47,48.85038,2.3536,0.0975,True,2.3423863313774693
7202,Kigoshi,9.92,8.5399,2.7579,0.1964,False,2.7041867534527944
7204,Ondrejov,5.68,4.29605,2.6676,0.0956,False,2.655381941245185
7206,Shiki,9.95,35.98295,3.0233,0.0586,False,3.0181045903231145
7212,Artaxerxes,2.69,5.38949,2.3027,0.1159,False,2.287181844907531
7231,Porco,21.64,33.95997,3.1658,0.0616,False,3.1597878822198875
7238,Kobori,4.86,17.22343,2.3194,0.1114,False,2.3049632396541715
7254,Kuratani,3.3,152.6313,2.157,0.1424,True,2.1350184308838553
7265,Edithmuller,3.4,25.72733,2.4402,0.1176,False,2.4232675631190728
7269,Alprokhorov,8.1,43.46572,2.9992,0.0692,False,2.9920103379512697
7270,Punkin,16.55,7.53334,3.2032,0.1703,False,3.156408493622997
7272,Darbydyar,8.04,30.38802,2.7814,0.1313,False,2.75732053128889
7274,Washioyama,10.51,7.09645,2.326,0.1952,False,2.2812558026580363
7282,1989BC,16.04,4.64866,2.757,0.1591,False,2.721882637231501
7285,Seggewiss,7.03,3.45989,2.5748,0.161,False,2.541210205191251
7288,1991FE1,5.47,4.8888,2.2654,0.1401,False,2.2430571734361004
7292,Prosperin,4.25,5.5889,2.3902,0.0714,False,2.384099643225996
7308,Hattori,12.61,5.89428,3.0676,0.0574,False,3.0625423277208013
7310,1995OL1,9.26,7.34061,2.6301,0.1959,False,2.579138861388656
7312,1996AT3,7.97,5.6799,2.7645,0.131,False,2.740676556919796
7322,Lavrentina,21.22,4.16715,3.1906,0.1175,False,3.1684983389738033
7329,Bettadotto,7.42,9.00433,2.6793,0.1519,False,2.648209046585003
7331,Balindblad,24.49,14.7396,3.1815,0.0368,False,3.179345012880383
7333,Bec-Borsenberger,8.21,12.73012,2.5782,0.1444,False,2.551178913202536
7340,1991UA2,5.57,10.69832,2.8323,0.0641,False,2.8264753194335195
7346,Boulanger,7.38,16.66805,2.8759,0.0435,False,2.8731777507086607
7354,Ishiguro,7.54,6.2222,3.158,0.1599,False,3.117366702317576
7361,Endres,5.2,5.88428,2.6727,0.0585,False,2.6681227567385832
7373,Stashis,9.93,22.88762,3.1418,0.1577,False,3.1024868710899227
7388,Marcomorelli,16.9,46.37886,3.1336,0.136,False,3.104485212082003
7396,Brusin,7.63,3.07904,2.9228,0.0628,False,2.9170307783828084
7397,1986QS,7.16,2.81052,2.7835,0.1322,False,2.759069394985619
7411,1990QQ1,20.02,3.73897,3.1429,0.2011,False,3.078692807094742
7427,1992VD,6.08,4.67352,2.6476,0.0482,False,2.644522706525875
7429,Hoshikawa,7.78,25.41343,2.8607,0.0602,False,2.855511649421879
7437,Torricelli,3.53,10.84422,2.3476,0.0838,False,2.339342537503635
7450,Shilling,17.35,167.56914,2.6185,0.1653,True,2.5824781649555524
7456,Doressoundiram,10.71,14.78337,2.6232,0.2736,False,2.523108034891778
7457,Veselov,13.47,12.2003,2.7399,0.0411,False,2.737584888669973
7459,Gilbertofranco,5.76,6.14213,2.5976,0.2059,False,2.5419413225790035
7475,Kaizuka,4.18,2.68966,2.2836,0.1205,False,2.2669601539933515
7476,Ogilsbie,19.0,3.9185,3.1542,0.2824,False,3.02581378491219
7478,Hasse,4.51,48.84529,2.8615,0.055,True,2.8571687032259314
7479,1994EC1,4.02,2.03659,2.2648,0.1367,False,2.243539172674419
7481,SanMarcello,11.17,176.25758,2.9222,0.0767,True,2.913591830517805
7485,Changchun,10.79,10.23485,2.8617,0.1604,False,2.824646982807193
7504,Kawakita,10.3,35.98859,3.1866,0.2084,False,3.1166339907076424
7521,1990QS2,7.61,4.55967,2.9014,0.0455,False,2.8983951323124164
7531,Pecorelli,4.37,3.33956,2.3403,0.1333,False,2.3194145396619468
7536,Fahrenheit,25.38,51.36752,2.8492,0.1533,False,2.8155215875558177
7537,Solvay,10.51,9.27234,3.1231,0.1361,False,3.094039880737433
7540,1997AK21,5.68,2.93616,2.4604,0.111,False,2.445195727687385
7550,Woolum,3.07,3.14323,2.2902,0.1494,False,2.26449671975506
7564,Gokumenon,8.53,30.58881,2.7675,0.2439,False,2.683922570130226
7576,1990BN,6.87,3.08537,2.7854,0.1334,False,2.760504870722751
7585,1991PK8,22.57,9.47914,3.184,0.1023,False,3.167295438853433
7588,1992FJ1,43.13,35.38871,3.2019,0.1488,False,3.1662542450913516
7595,Vaxjo,15.65,23.40314,2.7987,0.1778,False,2.7541073167996744
7598,1994CS,9.15,17.52329,3.0292,0.245,False,2.936879309791943
7601,1994US1,7.27,3.67727,2.5941,0.0893,False,2.5837359844537526
7612,1996CN2,26.01,26.03311,3.1681,0.0621,False,3.1619853528984314
7616,Sadako,14.32,11.0087,3.0003,0.0761,False,2.991599701714919
7618,Gotoyukichi,5.68,2.98465,2.7399,0.0777,False,2.7316166934565596
7643,1988VQ1,2.87,46.44416,2.2952,0.1527,True,2.2682832460768294
7645,Pons,4.05,35.40964,2.3722,0.1805,False,2.333236578069097
7652,1991RL5,10.02,5.25198,3.0439,0.1755,False,2.996656939924922
7655,Adamries,4.21,22.93575,2.4193,0.1636,False,2.386704180418187
7667,1995BL3,12.0,27.90062,3.0067,0.0846,False,2.9959209620554224
7684,Marioferrero,6.34,17.2688,2.7949,0.073,False,2.7874430411459015
7696,Liebe,5.03,13.92013,2.7231,0.0517,False,2.719458291520678
7700,RoteKapelle,3.22,3.76401,2.6781,0.111,False,2.661550430141272
7715,Leonidarosino,6.63,5.00154,2.5977,0.077,False,2.589987669753582
7724,Moroso,4.42,6.26115,2.2553,0.1878,False,2.2151721005295015
7735,Scorzelli,6.72,7.50176,2.7577,0.1278,False,2.7350867487799935
7756,Scientia,16.19,46.3288,3.1605,0.0126,False,3.1602491095517626
7757,Kameya,6.01,85.94579,2.2936,0.2332,True,2.2303626826256417
7760,1990RW3,4.94,25.96453,2.4075,0.1564,False,2.3778728203819064
7774,1992UU2,4.38,3.86723,2.2643,0.1638,False,2.2337173863605315
7779,Susanring,4.66,2.19003,2.3535,0.2622,False,2.2711594000661224
7794,Sanvito,4.56,5.78732,2.3019,0.1078,False,2.288485909571472
7796,Jaracimrman,12.54,5.09965,2.6647,0.1749,False,2.6236268535942067
7813,Anderserikson,6.49,13.28858,2.6011,0.1405,False,2.5752988529264518
7829,Jaroff,2.88,4.40217,1.9519,0.0643,False,1.9478607651160775
7834,1993JL,11.57,23.3535,2.5926,0.1601,False,2.559157534919633
7836,1993TG,11.42,28.42989,3.0447,0.2179,False,2.9715392112347403
7838,Feliceierman,15.38,18.11392,3.1464,0.0326,False,3.144727621515642
7856,Viktorbykov,13.85,184.59274,3.1872,0.1191,True,3.164514351554742
7860,Zahnle,3.43,5.45243,2.2624,0.0993,False,2.251218180870983
7862,Keikonakamura,6.37,31.08407,2.8402,0.0432,False,2.8375485149214117
7868,Barker,18.43,11.23582,2.683,0.1683,False,2.6447292093726325
7896,Svejk,17.13,16.20573,3.1445,0.1658,False,3.1009782297791757
7901,Konnai,3.75,5.16608,2.5811,0.1578,False,2.5487616387818894
7902,Hanff,6.91,7.42753,2.8719,0.0468,False,2.8687532008661525
7903,Albinoni,6.79,24.11728,3.0285,0.043,False,3.0256988563222467
7908,Zwingli,3.97,278.52125,2.3503,0.0871,True,2.3413678573120715
7909,Ziffer,11.77,11.88303,3.1595,0.1641,False,3.1166688969429197
7913,Parfenov,7.3,12.39043,2.8918,0.0342,False,2.890108322715916
7915,Halbrook,2.64,4.98055,2.3107,0.0945,False,2.3003592976251945
7916,Gigiproietti,3.55,3.46752,2.3659,0.2129,False,2.3116593627059303
7938,1990SL2,4.23,5.35944,2.3223,0.1594,False,2.2926072582777572
7941,1991NE1,21.61,57.46774,3.1739,0.0339,False,3.1720757369244916
7943,1991PQ12,17.11,362.43985,3.1519,0.1313,True,3.124612994380331
